[2021-07-27 08:55:55.959] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-27 08:55:55.960] [remoteagent] [info] Extension host agent started.
[2021-07-27 08:55:56.727] [remoteagent] [info] [::ffff:172.29.160.1][88e273a3][ManagementConnection] New connection established.
[2021-07-27 08:55:56.748] [remoteagent] [info] [::ffff:172.29.160.1][45833a43][ExtensionHostConnection] New connection established.
[2021-07-27 08:55:56.852] [remoteagent] [info] [::ffff:172.29.160.1][45833a43][ExtensionHostConnection] <478> Launched Extension Host Process.
[2021-07-27 08:56:20.934] [remoteagent] [info] [::ffff:172.29.160.1][1aa944ad][ManagementConnection] New connection established.
[2021-07-27 08:56:20.935] [remoteagent] [info] [::ffff:172.29.160.1][54e0880f][ExtensionHostConnection] New connection established.
[2021-07-27 08:56:20.937] [remoteagent] [info] [::ffff:172.29.160.1][54e0880f][ExtensionHostConnection] <572> Launched Extension Host Process.
[2021-07-27 08:56:41.369] [remoteagent] [warning] Resolved variables received without matching request 43
[2021-07-27 08:56:41.597] [remoteagent] [warning] Resolved variables received without matching request 44
[2021-07-27 08:56:41.603] [remoteagent] [warning] Resolved variables received without matching request 45
[2021-07-27 08:56:42.210] [remoteagent] [warning] Resolved variables received without matching request 46
[2021-07-27 08:56:42.260] [remoteagent] [warning] Resolved variables received without matching request 47
[2021-07-27 08:56:42.306] [remoteagent] [warning] Resolved variables received without matching request 48
[2021-07-27 08:56:42.367] [remoteagent] [warning] Resolved variables received without matching request 49
[2021-07-27 08:56:42.401] [remoteagent] [warning] Resolved variables received without matching request 50
[2021-07-27 09:01:20.823] [remoteagent] [warning] Resolved variables received without matching request 51
[2021-07-27 09:01:20.860] [remoteagent] [warning] Resolved variables received without matching request 52
[2021-07-27 09:01:20.877] [remoteagent] [warning] Resolved variables received without matching request 53
[2021-07-27 09:01:20.943] [remoteagent] [warning] Resolved variables received without matching request 54
[2021-07-27 09:01:20.957] [remoteagent] [warning] Resolved variables received without matching request 55
[2021-07-27 09:01:22.708] [remoteagent] [warning] Resolved variables received without matching request 56
[2021-07-27 09:01:22.753] [remoteagent] [warning] Resolved variables received without matching request 57
[2021-07-27 09:01:22.799] [remoteagent] [warning] Resolved variables received without matching request 58
[2021-07-27 09:01:22.847] [remoteagent] [warning] Resolved variables received without matching request 59
[2021-07-27 09:01:22.851] [remoteagent] [warning] Resolved variables received without matching request 60
[2021-07-27 09:37:34.310] [remoteagent] [warning] Resolved variables received without matching request 61
[2021-07-27 09:37:34.343] [remoteagent] [warning] Resolved variables received without matching request 62
[2021-07-27 09:37:34.364] [remoteagent] [warning] Resolved variables received without matching request 63
[2021-07-27 09:37:34.410] [remoteagent] [warning] Resolved variables received without matching request 64
[2021-07-27 09:37:34.442] [remoteagent] [warning] Resolved variables received without matching request 65
[2021-07-27 09:37:36.285] [remoteagent] [warning] Resolved variables received without matching request 66
[2021-07-27 09:37:36.330] [remoteagent] [warning] Resolved variables received without matching request 67
[2021-07-27 09:37:36.376] [remoteagent] [warning] Resolved variables received without matching request 68
[2021-07-27 09:37:36.422] [remoteagent] [warning] Resolved variables received without matching request 69
[2021-07-27 09:37:36.470] [remoteagent] [warning] Resolved variables received without matching request 70
[2021-07-27 09:46:42.989] [remoteagent] [warning] Resolved variables received without matching request 71
[2021-07-27 09:46:43.032] [remoteagent] [warning] Resolved variables received without matching request 72
[2021-07-27 09:46:43.079] [remoteagent] [warning] Resolved variables received without matching request 73
[2021-07-27 09:46:43.127] [remoteagent] [warning] Resolved variables received without matching request 74
[2021-07-27 09:46:43.174] [remoteagent] [warning] Resolved variables received without matching request 75
[2021-07-27 09:46:44.981] [remoteagent] [warning] Resolved variables received without matching request 76
[2021-07-27 09:46:45.024] [remoteagent] [warning] Resolved variables received without matching request 77
[2021-07-27 09:46:45.072] [remoteagent] [warning] Resolved variables received without matching request 78
[2021-07-27 09:46:45.120] [remoteagent] [warning] Resolved variables received without matching request 79
[2021-07-27 09:46:45.166] [remoteagent] [warning] Resolved variables received without matching request 80
[2021-07-27 10:01:50.596] [remoteagent] [warning] Resolved variables received without matching request 81
[2021-07-27 10:01:50.660] [remoteagent] [warning] Resolved variables received without matching request 82
[2021-07-27 10:01:50.955] [remoteagent] [warning] Resolved variables received without matching request 83
[2021-07-27 10:01:50.956] [remoteagent] [warning] Resolved variables received without matching request 84
[2021-07-27 10:01:50.958] [remoteagent] [warning] Resolved variables received without matching request 85
[2021-07-27 10:01:52.587] [remoteagent] [warning] Resolved variables received without matching request 86
[2021-07-27 10:01:52.640] [remoteagent] [warning] Resolved variables received without matching request 87
[2021-07-27 10:01:52.688] [remoteagent] [warning] Resolved variables received without matching request 88
[2021-07-27 10:01:52.734] [remoteagent] [warning] Resolved variables received without matching request 89
[2021-07-27 10:01:52.781] [remoteagent] [warning] Resolved variables received without matching request 90
[2021-07-27 10:01:54.588] [remoteagent] [warning] Resolved variables received without matching request 91
[2021-07-27 10:01:54.633] [remoteagent] [warning] Resolved variables received without matching request 92
[2021-07-27 10:01:54.678] [remoteagent] [warning] Resolved variables received without matching request 93
[2021-07-27 10:01:54.725] [remoteagent] [warning] Resolved variables received without matching request 94
[2021-07-27 10:01:54.772] [remoteagent] [warning] Resolved variables received without matching request 95
[2021-07-27 11:29:43.796] [remoteagent] [warning] Resolved variables received without matching request 96
[2021-07-27 11:29:43.823] [remoteagent] [warning] Resolved variables received without matching request 97
[2021-07-27 11:29:43.894] [remoteagent] [warning] Resolved variables received without matching request 98
[2021-07-27 11:29:43.901] [remoteagent] [warning] Resolved variables received without matching request 99
[2021-07-27 11:29:43.949] [remoteagent] [warning] Resolved variables received without matching request 100
[2021-07-27 11:29:45.758] [remoteagent] [warning] Resolved variables received without matching request 101
[2021-07-27 11:29:45.813] [remoteagent] [warning] Resolved variables received without matching request 102
[2021-07-27 11:29:45.859] [remoteagent] [warning] Resolved variables received without matching request 103
[2021-07-27 11:29:45.906] [remoteagent] [warning] Resolved variables received without matching request 104
[2021-07-27 11:29:45.952] [remoteagent] [warning] Resolved variables received without matching request 105
[2021-07-27 13:56:08.147] [remoteagent] [warning] Resolved variables received without matching request 106
[2021-07-27 13:56:08.214] [remoteagent] [warning] Resolved variables received without matching request 107
[2021-07-27 13:56:08.215] [remoteagent] [warning] Resolved variables received without matching request 108
[2021-07-27 13:56:08.269] [remoteagent] [warning] Resolved variables received without matching request 109
[2021-07-27 13:56:08.283] [remoteagent] [warning] Resolved variables received without matching request 110
[2021-07-27 13:56:10.113] [remoteagent] [warning] Resolved variables received without matching request 111
[2021-07-27 13:56:10.169] [remoteagent] [warning] Resolved variables received without matching request 112
[2021-07-27 13:56:10.216] [remoteagent] [warning] Resolved variables received without matching request 113
[2021-07-27 13:56:10.262] [remoteagent] [warning] Resolved variables received without matching request 114
[2021-07-27 13:56:10.308] [remoteagent] [warning] Resolved variables received without matching request 115
[2021-07-27 14:15:02.134] [remoteagent] [warning] Resolved variables received without matching request 116
[2021-07-27 14:15:02.186] [remoteagent] [warning] Resolved variables received without matching request 117
[2021-07-27 14:15:02.187] [remoteagent] [warning] Resolved variables received without matching request 118
[2021-07-27 14:15:02.233] [remoteagent] [warning] Resolved variables received without matching request 119
[2021-07-27 14:15:02.279] [remoteagent] [warning] Resolved variables received without matching request 120
[2021-07-27 14:15:04.106] [remoteagent] [warning] Resolved variables received without matching request 121
[2021-07-27 14:15:04.159] [remoteagent] [warning] Resolved variables received without matching request 122
[2021-07-27 14:15:04.205] [remoteagent] [warning] Resolved variables received without matching request 123
[2021-07-27 14:15:04.252] [remoteagent] [warning] Resolved variables received without matching request 124
[2021-07-27 14:15:04.299] [remoteagent] [warning] Resolved variables received without matching request 125
[2021-07-27 14:48:30.158] [remoteagent] [warning] Resolved variables received without matching request 126
[2021-07-27 14:48:30.199] [remoteagent] [warning] Resolved variables received without matching request 127
[2021-07-27 14:48:30.199] [remoteagent] [warning] Resolved variables received without matching request 128
[2021-07-27 14:48:30.248] [remoteagent] [warning] Resolved variables received without matching request 129
[2021-07-27 14:48:30.293] [remoteagent] [warning] Resolved variables received without matching request 130
[2021-07-27 14:48:32.105] [remoteagent] [warning] Resolved variables received without matching request 131
[2021-07-27 14:48:32.162] [remoteagent] [warning] Resolved variables received without matching request 132
[2021-07-27 14:48:32.208] [remoteagent] [warning] Resolved variables received without matching request 133
[2021-07-27 14:48:32.256] [remoteagent] [warning] Resolved variables received without matching request 134
[2021-07-27 14:48:32.305] [remoteagent] [warning] Resolved variables received without matching request 135
[2021-07-27 17:33:16.494] [remoteagent] [warning] Resolved variables received without matching request 136
[2021-07-27 17:33:16.518] [remoteagent] [warning] Resolved variables received without matching request 137
[2021-07-27 17:33:16.564] [remoteagent] [warning] Resolved variables received without matching request 138
[2021-07-27 17:33:16.612] [remoteagent] [warning] Resolved variables received without matching request 139
[2021-07-27 17:33:16.642] [remoteagent] [warning] Resolved variables received without matching request 140
[2021-07-27 17:33:18.467] [remoteagent] [warning] Resolved variables received without matching request 141
[2021-07-27 17:33:18.523] [remoteagent] [warning] Resolved variables received without matching request 142
[2021-07-27 17:33:18.569] [remoteagent] [warning] Resolved variables received without matching request 143
[2021-07-27 17:33:18.616] [remoteagent] [warning] Resolved variables received without matching request 144
[2021-07-27 17:33:18.664] [remoteagent] [warning] Resolved variables received without matching request 145
[2021-07-27 17:55:56.578] [remoteagent] [warning] Resolved variables received without matching request 146
[2021-07-27 17:55:56.616] [remoteagent] [warning] Resolved variables received without matching request 147
[2021-07-27 17:55:56.662] [remoteagent] [warning] Resolved variables received without matching request 148
[2021-07-27 17:55:56.678] [remoteagent] [warning] Resolved variables received without matching request 149
[2021-07-27 17:55:56.710] [remoteagent] [warning] Resolved variables received without matching request 150
[2021-07-27 17:55:58.550] [remoteagent] [warning] Resolved variables received without matching request 151
[2021-07-27 17:55:58.597] [remoteagent] [warning] Resolved variables received without matching request 152
[2021-07-27 17:55:58.643] [remoteagent] [warning] Resolved variables received without matching request 153
[2021-07-27 17:55:58.689] [remoteagent] [warning] Resolved variables received without matching request 154
[2021-07-27 17:55:58.735] [remoteagent] [warning] Resolved variables received without matching request 155
[2021-07-27 18:04:21.681] [remoteagent] [info] [::ffff:172.29.160.1][88e273a3][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-27 18:04:22.833] [remoteagent] [info] [::ffff:172.29.160.1][45833a43][ExtensionHostConnection] <478> Extension Host Process exited with code: 0, signal: null.
[2021-07-27 18:04:44.989] [remoteagent] [info] [::ffff:172.29.160.1][e33c237b][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-27 18:04:46.102] [remoteagent] [info] [::ffff:172.29.160.1][8e574495][ExtensionHostConnection] <743> Extension Host Process exited with code: 0, signal: null.
[2021-07-27 18:04:46.102] [remoteagent] [info] Last EH closed, waiting before shutting down
