[2021-07-30 09:10:22.657] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-30 09:10:22.657] [remoteagent] [info] Extension host agent started.
[2021-07-30 09:10:22.873] [remoteagent] [info] [::ffff:172.29.160.1][62d6b72c][ManagementConnection] New connection established.
[2021-07-30 09:10:22.874] [remoteagent] [info] [::ffff:172.29.160.1][55a7491e][ExtensionHostConnection] New connection established.
[2021-07-30 09:10:22.953] [remoteagent] [info] [::ffff:172.29.160.1][55a7491e][ExtensionHostConnection] <471> Launched Extension Host Process.
[2021-07-30 09:10:45.353] [remoteagent] [info] [::ffff:172.29.160.1][a0cbf7b0][ManagementConnection] New connection established.
[2021-07-30 09:10:45.386] [remoteagent] [info] [::ffff:172.29.160.1][84c97268][ExtensionHostConnection] New connection established.
[2021-07-30 09:10:45.392] [remoteagent] [info] [::ffff:172.29.160.1][84c97268][ExtensionHostConnection] <554> Launched Extension Host Process.
[2021-07-30 15:22:23.440] [remoteagent] [warning] Resolved variables received without matching request 167
[2021-07-30 15:22:23.489] [remoteagent] [warning] Resolved variables received without matching request 168
[2021-07-30 15:22:23.534] [remoteagent] [warning] Resolved variables received without matching request 169
[2021-07-30 15:22:23.581] [remoteagent] [warning] Resolved variables received without matching request 170
[2021-07-30 15:50:59.768] [remoteagent] [warning] Resolved variables received without matching request 171
[2021-07-30 15:50:59.801] [remoteagent] [warning] Resolved variables received without matching request 172
[2021-07-30 15:50:59.816] [remoteagent] [warning] Resolved variables received without matching request 173
[2021-07-30 15:50:59.865] [remoteagent] [warning] Resolved variables received without matching request 174
[2021-07-30 15:50:59.883] [remoteagent] [warning] Resolved variables received without matching request 175
[2021-07-30 15:51:01.737] [remoteagent] [warning] Resolved variables received without matching request 176
[2021-07-30 15:51:01.782] [remoteagent] [warning] Resolved variables received without matching request 177
[2021-07-30 15:51:01.829] [remoteagent] [warning] Resolved variables received without matching request 178
[2021-07-30 15:51:01.875] [remoteagent] [warning] Resolved variables received without matching request 179
[2021-07-30 15:51:01.920] [remoteagent] [warning] Resolved variables received without matching request 180
[2021-07-30 18:05:26.323] [remoteagent] [info] [::ffff:172.29.160.1][62d6b72c][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-30 18:05:27.419] [remoteagent] [info] [::ffff:172.29.160.1][55a7491e][ExtensionHostConnection] <471> Extension Host Process exited with code: 0, signal: null.
[2021-07-30 18:05:35.383] [remoteagent] [info] [::ffff:172.29.160.1][cc0cd8d7][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-30 18:05:36.588] [remoteagent] [info] [::ffff:172.29.160.1][47aa31eb][ExtensionHostConnection] <686> Extension Host Process exited with code: 0, signal: null.
[2021-07-30 18:05:36.588] [remoteagent] [info] Last EH closed, waiting before shutting down
